doc_id,context,question,ratings,hypo_answers
lacrosse,"Best Lacrosse players to watch

The United States and Canada are the traditional powerhouses of field lacrosse although the latter have yet to win a women's world title. Australia are the only nation other than the United States to win the women's world crown, doing so twice in 1986 and 2005.

The two North American giants hold a duopoly over men's field lacrosse World Championships with the United States winning 11 titles to Canada's three.

But at the 2022 World Games in Birmingham, Alabama, where the World Lacrosse Sixes format was used, Canada beat the United States in both the men's and women's finals.

In the men's game, Canada's Zach Currier and Dhane Smith, and USA's Tom Schreiber, are leading players in both field and Sixes formats.

Veteran Dana Dobbie played a key role in Canada's women's World Games success with Aurora Cordingley another player equally adept in both formats.",Who are the leading players in both field and Sixes formats in men's and women's lacrosse for Canada and the United States?,4,"Some of the leading players in men's lacrosse for Canada and the United States include players like Tom Schreiber (USA) and Mark Matthews (Canada). In women's lacrosse, players like Taylor Thornton (USA) and Dana Dobbie (Canada) are considered top players."
shooting,"Shooting has been an Olympic sport since the first modern Games and has been practised in Europe for hundreds of years. Some German clubs date back more than five hundred years. Shooting grew in popularity more recently in English-speaking countries, particularly with the formation of the National Rifle Association (NRA) in the United States in 1871. Today, shooting is a popular sport all over the world, with athletes from over 100 countries taking part in the shooting events at each Olympic Games.",When did the National Rifle Association (NRA) form in the United States?,5,The National Rifle Association (NRA) formed in the United States in 1871.
shooting,"Brief Overview of the Rules

There are three Olympic shooting disciplines: rifle, pistol and shotgun. Rifle and pistol events take place on shooting ranges, where athletes aim at targets at distances of 10m, 25m and 50m. There are also three positions: kneeling (where the athlete goes down on one knee and rests the elbow on the other knee), prone and standing. Some events include all positions.

To hit the targets as accurately and as close to the centre (the bullseye) as possible, marksmen use relaxation techniques to lower their heartbeat. Shotgun events are different in principle, as they take place outdoors. Marksmen shoot at flying targets fired from different angles and directions. This sport demands a great deal of concentration, decision making and sharp reflexes.",What are the three Olympic shooting disciplines and their respective distances?,5,"The three Olympic shooting disciplines are rifle shooting, pistol shooting, and shotgun shooting. The respective distances vary depending on the specific event within each discipline. Rifle shooting events typically range from 10 meters to 50 meters, pistol shooting events range from 10 meters to 50 meters, and shotgun shooting events usually involve shooting at moving clay targets at various distances."
shooting,"Olympic History

With the exception of the 1904 and 1928 Olympic Games, shooting sports have been included at every Summer Olympic Games since Athens in 1896. The number of events has changed from one edition of the Games to the next, increasing from five in 1896 to 15 today. The United States has won by far the most Olympic medals, followed by China and Russia (under the USSR flag). Italy has also been holding its own – for instance, it took home three gold medals and two silver medals at the Rio 2016 Games, with Niccolò Campriani bagging two Olympic titles.",Which country has won the most Olympic shooting medals in history?,5,The United States seems to have won the most Olympic shooting medals in history.
breaking,"Breaking is an urban dance style that originated in the United States in the 1970s. With roots in hip-hop culture, breaking first took form in the lively block parties in the Bronx borough of New York, and is characterised by acrobatic movements, stylised footwork, and the key role played by the DJ and the MC (master of ceremonies) during battles.

International competitions were first held in the 1990s, popularising the dance form both among hip-hop communities and the general public along the way.","What are some key elements of breaking, an urban dance style that originated in the United States in the 1970s?",5,"Some key elements of breaking include footwork, toprock, power moves, freezes, and transitions."
breaking,"Brief Overview of the Rules

The breaking competition at the Paris 2024 Olympic Games comprises two events—one for men and one for women—where 16 B-Boys and 16 B-Girls will face off in spectacular solo battles. Athletes will use a combination of power moves—including windmills, the 6-step, and freezes—as they adapt their style and improvise to the beat of the DJ’s tracks in a bid to secure the judges’ votes and take home the first Olympic breaking medals.",What types of moves will athletes use in the breaking competition at the Paris 2024 Olympic Games?,4,"Athletes in the breaking competition at the Paris 2024 Olympic Games will likely use a variety of moves including power moves, freezes, footwork, and transitions."
breaking,"Olympic History

Breaking featured at the Summer Youth Olympic Games in Buenos Aires in 2018. Following its outstanding success at the Games in Argentina, breaking was added to the Paris 2024 Olympic programme as a new sport.",What sport was added to the Paris 2024 Olympic programme following its success at the 2018 Summer Youth Olympic Games in Buenos Aires?,5,Breakdancing
tabletennis,"Table tennis is derived from lawn tennis and was initially played as after-dinner entertainment among upper-class English families who would use whatever they could find as equipment. At the time, they would place books on a table to serve as a net, the lids of cigar boxes for rackets and a rounded-off cork from a champagne bottle as the ball. Thankfully, table tennis equipment has evolved over time and in 1926 competitions were organised in Berlin and London, giving rise to the first world championships which were held in London that same year. Enormously popular in Asia, table tennis is played by over 40 million people around the globe, making it one of the most popular sports in the world.","How did table tennis equipment evolve over time from using makeshift items such as books, cigar box lids, and corks as equipment?",5,"Table tennis equipment evolved over time from using makeshift items such as books, cigar box lids, and corks by adapting them into more specialized and standardized equipment specifically designed for the sport. This included the development of standardized paddles, regulation-sized balls, and official tables with specific dimensions and materials. The evolution of table tennis equipment was driven by the growing popularity of the sport and the need for more consistency and fairness in gameplay."
tabletennis,"Brief Overview of the Rules

Table tennis is played on a table divided into two halves by a net in the middle, using an extremely lightweight ball and sophisticated rackets or ‘paddles’ comprising a wooden blade coated with a rubber surface on both sides.

Singles matches are a best-of-seven games format, with the first player to 11 points (by a margin of two clear points) winning each game. Team matches consist of four singles matches and one doubles match, each played in a best-of-five games format. Each team consists of three players and matches end when a team has won three individual games. In doubles matches, players take turns to hit the ball.",How many singles matches are typically played in a team table tennis match?,5,"In a team table tennis match, typically there are 3 singles matches played."
tabletennis,"Olympic History

Table tennis first appeared at the Seoul Olympic Games in 1988, with singles and doubles competitions for men and women. In 2008, the doubles competition was replaced with the team competition, and the programme was expanded for the 2020 Tokyo Games to include mixed doubles, bringing the total number of events to five, split evenly across both genders.

Up until the mid-20th century, the sport was dominated by central European countries such as Hungary, the Czech Republic, Austria and Germany. However, since table tennis became a part of the Olympic programme at Seoul 1988, athletes representing the People’s Republic of China have prevailed, winning a total of 60 medals (including 32 golds) at the Games.",Which country has dominated in table tennis at the Olympic Games since it was introduced in 1988?,5,China.
badminton,"Badminton is a racket sport whose exact origins are still a tantalising mystery. It evolved from the older games of battledore and shuttlecock, which were popular pastimes in Europe—particularly among the more affluent classes. However, it is unknown exactly when battledore and shuttlecock transformed into the competitive sport of badminton. One plausible theory is that badminton was first played at the stately home of the Duke of Beaufort in Gloucestershire sometime in the early 1860s and was thus named after his estate: Badminton House. The game travelled to India where it became a popular sport in military cantonments, and gradually spread across the British colonies and then to Europe and East Asia. Today, badminton is a global sport with widespread appeal among people of all ages and abilities.",When was badminton first played at the stately home of the Duke of Beaufort in Gloucestershire?,5,1863
badminton,"Brief Overview of the Rules

Badminton is a racket sport played indoors by two opposing players (singles) or two pairs (doubles), who take positions on opposite halves of a court divided by a net. Players use a shuttlecock (a projectile with a crown of feathers in a conical shape) during a rally, with the aim of trying to land it on the surface of their opponents' court or forcing their opponents to make an error. A point is won/lost every serve in the game. Players must win two games of 21 points to win the match (best of three).",How many points does a player need to win in order to win a game of badminton?,5,"A player needs 21 points to win a game of badminton, with the exception that if both players are tied at 20 points, then the player who reaches 22 points first wins."
badminton,"Olympic History

Badminton made its Olympic debut as a demonstration sport at the 1972 Games in Munich, and was included as an exhibition sport at the Seoul 1988 Olympic Games; four years later badminton became an official part of the Olympic program at the 1992 Games in Barcelona with four medal categories: men’s and women’s singles, and men’s and women’s doubles.

Mixed doubles was added to the discipline at the following Games in Atlanta in 1996.

Athletes representing Asian nations have dominated the podium at the Games, accounting for 106 of the 121 badminton medals in Olympic history.

At Paris 2024, 172 athletes will compete in the badminton competition. The events of men’s and women's singles, men’s and women’s doubles, and mixed doubles will be contested across 10 days of competition with five gold, silver, and bronze medals awarded.",How many badminton medals have been won by athletes representing Asian nations in Olympic history?,5,Approximately 109 badminton medals have been won by athletes representing Asian nations in Olympic history.
sailing,"International sailing races began in 1851 when members of the New York Yacht Club decided to take part in a competition in England. To compete, they built a 101‑foot schooner named America, sailed to England and won a trophy called the Hundred Guineas Cup. The trophy was then renamed The America’s Cup in memory of this first international sailing competition.",What was the original name of the trophy that became known as The America's Cup?,5,The original name of the trophy that became known as The America's Cup was the One Hundred Guinea Cup.
sailing,"Brief Overview of the Rules

Sailing involves moving a boat solely by harnessing the power of the wind. Mastery over ever‑changing conditions requires both great skill and experience on the part of the athletes. In Olympic events, the rules of the international sailing federation, World Sailing, apply. Competitions are made up of fleet racing, where two equally-matched boats race around the same varied course.

There were ten events at the Tokyo Games, including windsurfing, mixed Nacra 17 Foiling, 49ers and the 470. The various sailing disciplines are constantly changing, and boats are designed to be increasingly small and lightweight, placing ever greater demands on both the athletic and technical capacities of the sailors. Two new events will take place for the first time at the Olympic Games in 2024: windsurfer – iQFoil and kiteboarding.",What are the two new sailing events that will be introduced for the first time at the Olympic Games in 2024?,5,The two new sailing events introduced for the first time at the Olympic Games in 2024 are the mixed kitefoil relay and the mixed doublehanded offshore race.
sailing,"Olympic History

Sailing has featured on the programme at every edition of the Olympic Games of the modern era. They could not take place on 1st April 1896 in Athens, however, as bad weather conditions forced the organisers to cancel the events. The first competitions therefore took place at the Olympic Games in Paris in 1900. Since then, the categories included in the competition have constantly evolved. The different events are organised by monotype classes—i.e. their size and weight.",What year did sailing first feature in the Olympic Games?,5,Sailing first featured in the Olympic Games in 1900.
diving,"In the early 19th century, gymnasts in Germany and Sweden popularised ‘fancy’ diving by performing elaborate acrobatics while jumping into the water.

Towards the end of the 19th century, Swedish divers travelled to Great Britain to perform diving demonstrations at the National Graceful Diving Competition (the first world championship event in high diving), which led to the establishment of the Amateur Diving Association in 1901.",What country were the Swedish divers from who popularized fancy diving in the early 19th century?,5,Sweden
diving,"Brief Overview of the Rules

At the Olympic Games, the sport is contested in eight events: the 3-metre springboard (individual and synchronised, men and women) and the 10-metre platform (individual and synchronised, men and women). The 3-metre springboard enables divers to leap high into the air, while the high dive is performed from a fixed platform position 10 metres above the water. The individual and synchronised competitions take place at both heights.

A panel of judges score each dive based on various criteria, including how aesthetically pleasing a diver’s movements are, the complexity of the dive and how well the diver enters the water. Synchronised diving is also scored on how well the two divers match each other’s movements.","What are the two types of diving events contested at the Olympic Games, and how are they different from each other in terms of height and execution?",5,"The two types of diving events contested at the Olympic Games are platform diving and springboard diving. 

Platform diving takes place from a 10-meter platform, which is the tallest height in diving competitions. This event requires divers to perform their dives with more somersaults and twists due to the higher starting point. 

Springboard diving, on the other hand, takes place from a lower height of either 1 or 3 meters, depending on the competition. Divers use the springboard to generate height and perform their dives with less somersaults and twists compared to platform diving."
diving,"Olympic History

Diving made its Olympic debut at the 1904 Games in St. Louis and has been included at every Games since. The first women’s events were contested at the 1912 Games in Stockholm, while the synchronised competition was added to the programme at the Sydney 2000 Olympic Games.

Diving events at the Games were initially dominated by Team USA athletes, though in recent Olympiads competitors from the People’s Republic of China have been formidable (Chinese athletes won 12 of the 24 available diving medals, including seven golds, at the Tokyo 2020 Olympic Games).",When did synchronized diving events first become a part of the Olympic programme?,5,Synchronized diving events first became a part of the Olympic programme in the 2000 Sydney Olympics.
beachvolleyball,"A variation of volleyball played on sand first appeared on the beaches of Santa Monica, California in the 1920s. The first beach volleyball tournament took place in 1947 and the first circuit was launched in the 1950s, involving hundreds of players on Californian beaches. The first professional players’ union was established in the 1980s and the first international tournament sanctioned by the International Volleyball Federation (FIVB) was held in 1987.",When and where did the first professional players' union for beach volleyball get established?,4,"The first professional players' union for beach volleyball was likely established in the United States, sometime in the late 1980s or early 1990s when the sport began to gain more popularity and recognition."
beachvolleyball,"Brief Overview of the Rules

Beach volleyball is played by two teams of two players on a sand court 16m long and 8m wide—slightly smaller than an indoor court—that is divided by a net. Beach volleyball uses the same net height as indoor volleyball: 2.24m for women and 2.43m for men.

The first team to win two sets wins the match. The first two sets are played to 21 points each and the third set, if necessary, is played to 15 points. As there are only two players per team, players have a lot more ground to cover, which means they need lightning-fast reflexes. Beach volleyball matches are played outdoors, where wind, sun, and rain can affect playing conditions; players therefore need to be very versatile and adapt to the elements in order to succeed.",What are the dimensions of a beach volleyball court and what are the net heights for men and women?,5,The dimensions of a beach volleyball court are 16m x 8m. The net height for men is 2.43m (7 feet 11 5/8 inches) and the net height for women is 2.24m (7 feet 4 1/8 inches).
beachvolleyball,"Olympic History

Beach volleyball made its official Olympic debut at the Atlanta 1996 Olympic Games after first appearing as a demonstration sport at the 1992 Summer Olympics in Barcelona. Brazil and the USA have achieved considerable success in the sport, winning a combined 24 Olympic medals (including 10 golds) out of a possible 42. The only other NOCs to finish on top of the podium have been Germany in the men’s (London 2012) and women’s tournaments (Rio 2016), Australia in the women’s tournament (Sydney 2000), and Norway in the men’s tournament (Tokyo 2020).",Which country has won the most Olympic medals in beach volleyball?,4,The United States has won the most Olympic medals in beach volleyball.
taekwondo,"Taekwondo, which translates to “the art of kicking and punching”, is a martial art with roots dating back to the Three Kingdoms Period of Ancient Korea (c. 57 BC to 668 AD) when Silla Dynasty warriors began to develop a martial art known as taekkyon (""foot-hand""). During the early 20th century, taekwondo become the dominant martial art form practiced in Korea. The sport then went international and in 1973 the World Taekwondo Federation (now known as World Taekwondo) was founded. That same year, the first taekwondo world championships were held in Seoul.",When was the World Taekwondo Federation founded?,5,"The World Taekwondo Federation was founded on May 28, 1973."
taekwondo,"Brief Overview of the Rules

The aim of taekwondo is for an athlete to kick and punch their opponent while avoiding being struck themselves. The trademark of this martial art is its combination of kicking and punching movements in quick succession. Matches are fought on an octagonal mat for three rounds of two minutes each. Points are awarded according to the degree of difficulty of techniques used; for example, a kick to the head scores higher than punches and kicks to the trunk. Spinning kicks are also rewarded with extra points. Penalties may be given to athletes for various faults.",How are points awarded in taekwondo matches based on the techniques used?,5,"Points in taekwondo matches are typically awarded based on the techniques used, with different values assigned to each technique. For example, a kick to the body might be worth one point, while a kick to the head could be worth three points. Punches and spinning kicks may also be awarded points depending on the rules of the match."
taekwondo,"Olympic History

Taekwondo’s first Olympic appearance came at the Seoul 1988 Olympic Games, when it was contested as a demonstration event. It appeared again as a demonstration sport at the Barcelona Games in 1992 but was absent from the Olympic programme at Atlanta 1996. However, four years later, taekwondo reappeared as a full medal sport at the Sydney 2000 Games, where events for men and women were held. Taekwondo has been a part of the Olympic programme ever since.

While taekwondo competitions were previously dominated by athletes representing the Republic of Korea, this is no longer the case. For example, at London 2012, gold medals were awarded to athletes from eight different nations.

Some nations have even made history by winning their first Olympic medals through taekwondo—including Vietnam in 2000, Afghanistan in 2008, Gabon in 2012, and Niger and Jordan in 2016—or their first-ever female Olympic medals, including the Islamic Republic of Iran and Côte d’Ivoire, also in 2016.",When did taekwondo first appear as a full medal sport in the Olympic Games?,5,Taekwondo first appeared as a full medal sport in the Olympic Games in the year 2000.
skateboarding,"Skateboarding is a young and spectacular sport that developed in the US in the 1950s as surf culture was taking off. It was then part of the underground, alternative culture of the 1980s, going hand in hand with the values of freedom, rebellion and thrill-seeking. The sport continued to develop and became more widely accessible at the start of the 21st century, proving a huge hit among younger audiences.",What values were associated with skateboarding in the 1980s?,4,"Individuality, freedom, rebellion, creativity, and anti-establishment attitudes were associated with skateboarding in the 1980s."
skateboarding,"Brief Overview of the Rules

The world’s greatest skateboarders will face each other at the Olympic Games, competing in the two most popular and spectacular disciplines: park and street. Athletes must carry out their most impressive tricks, meeting criteria for the degree of difficulty, speed and range of moves.

The events consist of two rounds: prelims and finals.

The park competition takes place on a varied course combining bowls and numerous bends, which the athletes use to gather speed and perform tricks mid-air.

The skateboarders are judged by the height and speed of the tricks they carry out during jumps, as well as their capacity to use the entire surface and all obstacles. They perform three 45‑second runs, with the best of three counting as their final round score.

Street events take place on a straight ‘street-like’ course with stairs, handrails, etc. set up to resemble the urban environments where skateboarding started out. Athletes perform a range of tricks and are also judged on how they control their board during the two 45‑second runs and five tricks they carry out.",What are the criteria used to judge skateboarders in the Olympic Games' park and street competitions?,5,"Skateboarders in the Olympic Games' park and street competitions are judged based on their difficulty of tricks, style, creativity, and execution of their run. Other criteria may include speed, use of the course, and overall impression."
skateboarding,"Olympic History

After making its Olympic debut at the Tokyo 2020 Olympic Games in 2021, skateboarding will once again be on the programme for Paris 2024, taking place at the famous Place de La Concorde in the heart of the French capital.",When did skateboarding make its Olympic debut?,4,Skateboarding made its Olympic debut at the 2020 Tokyo Olympics.
handball,"Handball was first played towards the end of the 19th century in Scandinavia and Germany, where field handball was also gaining recognition as a sport. G.Wallström introduced the sport to Sweden in 1910. The two versions of the sport were played until 1966, when indoor handball began to replace field handball.",When did indoor handball start to replace field handball as the predominant version of the sport?,5,Indoor handball started to replace field handball as the predominant version of the sport in the 1950s.
handball,"Brief Overview of the Rules

The modern version is played on an indoor court measuring 40m x 20m between two teams of seven players each. Players can take up to three steps without dribbling and can hold the ball for a maximum of three seconds. The team with the most goals at the end of the two 30-minute halves wins. Twelve teams compete in both the women’s and men’s tournaments at the Olympic Games.

Handball is a contact sport in which attackers and defenders can make body contact with an opponent, making it a very physical and demanding sport. Offensive strategies are even encouraged, as passive play is illegal. Endurance and strength are therefore vital qualities for the players; however, this sport also involves tactics, teamwork, and flexibility, as all players alternate between attack and defence.",How many teams compete in the women's and men's handball tournaments at the Olympic Games?,5,"There are 12 teams that compete in the women's handball tournament at the Olympic Games, and 12 teams that compete in the men's handball tournament."
handball,"Olympic History

Field handball made its Olympic debut at the Berlin 1936 Games and was a demonstration sport at the Helsinki 1952 Games. The indoor version first appeared on the Olympic programme 20 years later at the Munich 1972 Games.

The first women’s competition was held four years later at the Montreal 1976 Olympic Games.",When did field handball make its Olympic debut and when was the first women's competition held?,5,Field handball made its Olympic debut in the 1936 Berlin Games. The first women's competition was held in the 1976 Montreal Games.
cyclingmountainbike,"Mountain bike is a relatively new sport that emerged in the 1970s, when cyclists in California decided to take their bikes off-road and explore new trails. In the 1990s, the first mountain bikes that could withstand the impact of rougher terrain were created, and the hobby subsequently took off, quickly becoming a sport in its own right. The first informal competitions took place in the late 1970s before the first official world championships were held in the 1990s.",What was the decade in which the first official world championships for mountain biking took place?,5,The 1990s.
cyclingmountainbike,"Brief Overview of the Rules

There are two cross-country mountain bike events: one for women and one for men. Riders set off from the same starting line and contest multiple laps around a loop on mountainous, rough terrain that tests their technique, endurance, and stamina.

Races feature a mass start and, in general, multiple laps. Riders take one to two hours to complete an intense course full of twists and turns, covering tens of kilometres during the event.",How long does it typically take riders to complete the intense course in a cross-country mountain bike event?,4,It typically takes riders around 2-3 hours to complete the intense course in a cross-country mountain bike event.
cyclingmountainbike,"Olympic History

Mountain bike made its Olympic debut 100 years after track cycling and road cycling at the Atlanta 1996 Olympic Games, with individual races for men and women. French and Swiss athletes have regularly finished on the Olympic podium in mountain bike, combining for 16 of the 42 medals awarded in the discipline.",In what year did mountain bike make its Olympic debut?,5,Mountain biking made its Olympic debut in 1996.
beachhandball,"After beach volleyball began to thrive on Italy’s beaches, it inspired the country’s handball players to transfer the game to the sand.",What inspired Italy's handball players to start playing beach handball?,5,The beautiful beaches and warm weather in Italy likely inspired the handball players to start playing beach handball.
beachhandball,"Beach Handball Evolution

In the late 1980s, Italian coach Simonetta Montagni began developing handball on the beach. As the discipline began to grow in popularity, coach Luciano Bartolini was asked to create the first set of rules for the game in 1990, making the fast-paced game fit within the existing beach volleyball court lines.

In 2000, beach handball became an official European Handball Federation (EHF) sport, and the first EHF Beach Handball European Championship was held that year in Gaeta, Italy. The sport was further developed with representatives of the International Handball Federation (IHF), and it began to reach a global audience. In 2004, the first Beach Handball World Championship was held in Egypt, and the first IHF under-17 World Championships were held in Mauritius in 2017. There, Spain won the men’s event and Hungary claimed the women’s gold.",When and where was the first Beach Handball World Championship held?,5,"The first Beach Handball World Championship was held in Rio de Janeiro, Brazil in 2004."
beachhandball,"Beach and Indoor Differences

While beach handball stems from indoor handball, the sand underfoot shapes how the game is played. The softer landing often results in spectacular, twisting mid-air shots from players hoping to outwit the goalkeeper. Unlike indoor handball, beach handball is not only a non-contact sport, but each period is also scored separately. The winner of a period is awarded one point. Tied matches are decided by a shootout, where a player will try to beat the opposing team’s goalkeeper in a one-on-one. In the shootouts, each team gets five initial attempts. If the scores remained tied, sudden death decides the winner.",How is scoring different between beach handball and indoor handball?,5,"In beach handball, goals scored are worth two points if they are scored by a goalkeeper and one point if scored by a field player. In indoor handball, most goals are worth one point regardless of who scores them."
beachhandball,"The Basics

In beach handball, four players from a squad of 10 – nine at the Olympic Games – take the court at a time: three players and one goalkeeper. As with indoor handball, goals are scored when the ball is thrown into the opponent’s goal, with spectacular goals, such as in-flight goals are spin shots, and goals that are scored by a goalkeeper, or from a penalty throw, worth an extra point. Beach handball matches are fast-paced, with two, 10-minute periods of play.",How many players from a squad are on the court at a time in beach handball?,5,There are 4 players from a squad on the court at a time in beach handball.
beachhandball,"Olympic History

Beach Handball, a new discipline of handball, made its debut on the Olympic stage at the Summer Youth Olympic Games Buenos Aires 2018. There, it replaced indoor handball, which was included at Singapore 2010 and Nanjing 2014. The discipline made a big statement at Buenos Aires 2018 since it had the largest number of athletes of any of the new disciplines; 215 athletes competed in the men’s and women’s tournaments. The men’s team from Spain and the women’s team from Argentina each took the gold.",Which country's team won the gold in the men's tournament of Beach Handball at the Summer Youth Olympic Games Buenos Aires 2018?,5,Russia
biathlon,Biathlon combines the power and aggression of cross-country skiing with the precision and calm of marksmanship.,How does biathlon combine two seemingly contrasting skills?,5,Biathlon combines cross-country skiing and rifle marksmanship.
biathlon,"Roots in Survival

The word ""biathlon"" stems from the Greek word for two contests, and is today seen as the joining of two sports: skiing and shooting. Biathlon has its roots in survival skills practised in the snow-covered forests of Scandinavia, where people hunted on skis with rifles slung over their shoulders.",What two sports are combined in the biathlon?,5,The two sports combined in the biathlon are cross-country skiing and rifle shooting.
